date,rt,RV,delta_alpha_T252
2011-10-07,-2.023299,3.249509,0.967049
2011-10-10,5.019504,1.239559,0.974602
2011-10-11,2.909038,2.251538,0.895376
2011-10-12,0.418703,1.831983,0.832888
2011-10-13,1.588980,0.979771,0.884355
2011-10-14,3.236965,0.809777,0.868959
2011-10-17,-0.465581,2.730621,0.998329
2011-10-18,0.531916,1.961019,1.010627
2011-10-19,-5.731446,3.226128,0.950042
2011-10-20,-0.846267,1.779536,0.939974
2011-10-21,-0.639434,1.445115,0.912321
2011-10-24,3.226086,1.385503,1.013723
2011-10-25,-1.951281,1.634065,0.869388
2011-10-26,0.701265,2.083613,0.823283
2011-10-27,0.973582,1.231232,0.910934
2011-10-28,0.069180,0.848444,0.931843
2011-10-31,0.000000,1.191963,0.937695
2011-11-01,-2.096513,2.361072,0.961658
2011-11-02,0.211640,0.865265,0.889800
2011-11-03,1.469072,0.993286,0.963670
2011-11-04,-0.766821,0.453529,1.026140
2011-11-07,-0.070004,0.663063,0.997509
2011-11-08,1.597811,0.831544,1.055282
2011-11-09,-2.724583,0.818840,0.956654
2011-11-10,-2.582640,3.673202,1.055125
2011-11-11,-0.145455,2.464305,0.972022
2011-11-14,-1.392474,1.246492,0.935424
2011-11-15,2.478261,1.062098,0.791861
2011-11-16,-1.085787,1.625525,0.801680
2011-11-17,-1.910418,2.457188,0.884618
2011-11-18,-0.669895,0.968512,0.894004
2011-11-21,-1.580763,1.584169,0.862911
2011-11-22,2.027858,1.608082,0.716393
2011-11-23,-2.560381,2.045077,0.812879
2011-11-25,-0.996559,1.128201,1.097747
2011-11-28,3.408130,1.183039,1.116560
2011-11-29,-0.747388,2.401093,1.075466
2011-11-30,2.372239,0.722910,0.963426
2011-12-01,1.454571,1.085851,0.855168
2011-12-02,0.504142,0.881839,0.901407
2011-12-05,0.858374,0.697702,1.006868
2011-12-06,-0.571430,0.827768,1.004145
2011-12-07,-0.430726,0.742955,0.806587
2011-12-08,0.359067,1.449662,0.669162
2011-12-09,0.785438,0.697119,0.797981
2011-12-12,-0.499110,0.675670,0.880061
2011-12-13,-0.717363,1.673647,0.893519
2011-12-14,-2.257103,2.389761,0.787878
2011-12-15,-0.368868,0.836125,0.676115
2011-12-16,0.589537,0.554825,0.712909
2011-12-19,0.293470,0.882161,0.773247
2011-12-20,3.526814,0.543726,0.749251
2011-12-21,0.141343,1.477351,0.663432
2011-12-22,0.493132,0.316283,0.616174
2011-12-23,1.187579,0.403265,0.585717
2011-12-27,0.829880,0.758006,0.735027
2011-12-28,-0.968866,0.742400,0.718516
2011-12-29,0.623919,0.497430,0.634510
2011-12-30,-0.069132,0.195582,0.563692
2012-01-03,1.578077,0.650459,0.616136
2012-01-04,0.543111,0.682281,0.708713
2012-01-05,1.077452,0.444599,0.756206
2012-01-06,1.065966,0.385219,0.683159
2012-01-09,-0.199005,1.030708,0.720227
2012-01-10,0.397615,0.472240,0.735442
2012-01-11,-0.198610,0.451023,0.761050
2012-01-12,-0.265428,0.540400,0.984121
2012-01-13,-0.399468,0.231604,0.916348
2012-01-17,1.193648,0.221694,0.816383
2012-01-18,1.049190,0.252828,0.832719
2012-01-19,-0.326691,0.388308,0.902318
2012-01-20,-1.782814,0.570245,0.919097
2012-01-23,1.651838,0.806860,0.886121
2012-01-24,-1.651838,0.989648,0.914465
2012-01-25,6.074218,1.734619,0.905512
2012-01-26,-0.439837,0.683287,0.879292
2012-01-27,0.565151,0.408747,0.885140
2012-01-30,1.306395,0.764003,0.973675
2012-01-31,0.738920,0.672860,0.936082
2012-02-01,-0.061369,0.285929,0.964356
2012-02-02,-0.245851,0.242215,1.013298
2012-02-03,1.040720,0.220019,0.927403
2012-02-06,0.909373,0.363138,0.818680
2012-02-07,1.020723,0.355196,0.994867
2012-02-08,1.658806,0.536235,1.034184
2012-02-09,3.407780,2.318945,1.035024
2012-02-10,0.056770,1.526481,1.022639
2012-02-13,1.855549,0.592088,0.867904
2012-02-14,1.383148,0.717653,0.853042
2012-02-15,-2.390995,7.948323,0.904911
2012-02-16,0.952121,3.737475,1.019369
2012-02-17,-0.055757,1.200303,1.049898
2012-02-21,2.533175,1.749350,0.875301
2012-02-22,-0.381368,1.045881,0.950260
2012-02-23,0.652886,1.643029,1.042427
2012-02-24,1.185998,0.381541,0.983880
2012-02-27,0.641028,1.186050,0.981104
2012-02-28,1.794243,0.779228,0.936245
2012-02-29,1.299057,3.843818,0.886667
2012-03-01,0.412159,1.523188,0.970666
2012-03-02,0.102775,0.441461,0.997046
2012-03-05,-2.233279,3.753589,0.955636
2012-03-06,-0.526594,2.145843,0.769590
2012-03-07,0.052784,3.202965,0.804780
2012-03-08,2.140515,0.827491,0.724464
2012-03-09,0.566574,0.445794,0.789056
2012-03-12,1.225130,0.534811,0.823853
2012-03-13,2.900203,0.520468,0.810018
2012-03-14,3.724735,4.732488,0.790753
2012-03-15,-0.714799,5.003822,0.751133
2012-03-16,0.000000,1.330180,0.820414
2012-03-19,2.642910,1.257470,0.785621
2012-03-20,0.788684,1.224414,0.719661
2012-03-21,-0.556072,1.199713,0.712959
2012-03-22,-0.512463,1.033733,0.750525
2012-03-23,-0.562062,0.489051,0.796073
2012-03-26,1.815270,0.635867,0.814346
