AAPL.date,AAPL.price,AAPL.return,AAPL.growth_rate,AAPL.RV_SquareReturn,AAPL_RV.5min.date,AAPL_RV.5min,AAPL_RV_overnight.5min.date,AAPL_RV_overnight.5min,AAPL_RK.5min.date,AAPL_RK.5min,AAPL_BPV.5min.date,AAPL_BPV.5min
2010-10-11,10.55,0.475060276,0.476190476,0.225682266,2010/10/11,0.598870826,2010/10/11,0.680270852,2010/10/11,0.307185936,2010/10/11,0.435395532
2010-10-12,10.66,1.037255882,1.042654028,1.075899764,2010/10/12,1.478055567,2010/10/12,1.478055567,2010/10/12,0.879193689,2010/10/12,0.995301404
2010-10-13,10.72,0.56127369,0.562851782,0.315028156,2010/10/13,0.701093315,2010/10/13,1.016121471,2010/10/13,0.124698289,2010/10/13,0.611810849
2010-10-14,10.8,0.743497849,0.746268657,0.552789051,2010/10/14,0.517500441,2010/10/14,0.656211927,2010/10/14,0.277080791,2010/10/14,0.393165519
2010-10-15,11.24,3.993271034,4.074074074,15.94621355,2010/10/15,1.462889149,2010/10/15,3.902152169,2010/10/15,3.203245348,2010/10/15,1.427595226
2010-10-18,11.36,1.061956883,1.067615658,1.127752421,2010/10/18,1.282338708,2010/10/18,2.604715269,2010/10/18,0.502610075,2010/10/18,1.400198189
2010-10-19,11.05,-2.766798533,-2.728873239,7.655174122,2010/10/19,5.665993799,2010/10/19,28.49370326,2010/10/19,5.977655097,2010/10/19,5.907544014
2010-10-20,11.09,0.36133734,0.36199095,0.130564673,2010/10/20,2.316737722,2010/10/20,2.32493498,2010/10/20,2.722425185,2010/10/20,2.171350754
2010-10-21,11.05,-0.36133734,-0.360685302,0.130564673,2010/10/21,1.483489651,2010/10/21,1.87940187,2010/10/21,1.474069252,2010/10/21,1.399431487
2010-10-22,10.98,-0.635499188,-0.633484163,0.403859218,2010/10/22,0.938173849,2010/10/22,0.946371108,2010/10/22,0.100762191,2010/10/22,0.736980533
2010-10-25,11.03,0.454339718,0.455373406,0.20642458,2010/10/25,0.570015726,2010/10/25,0.866997647,2010/10/25,0.326904503,2010/10/25,0.332660644
2010-10-26,11.0,-0.272356047,-0.271985494,0.074177816,2010/10/26,1.075515748,2010/10/26,1.480845559,2010/10/26,0.622995569,2010/10/26,1.039142923
2010-10-27,10.99,-0.090950438,-0.090909091,0.008271982,2010/10/27,0.897328427,2010/10/27,0.905600409,2010/10/27,0.50572937,2010/10/27,0.73041369
2010-10-28,10.9,-0.822297918,-0.818926297,0.676173866,2010/10/28,1.355523008,2010/10/28,1.363794991,2010/10/28,1.411127745,2010/10/28,1.155615991
2010-10-29,10.75,-1.385703466,-1.376146789,1.920174096,2010/10/29,0.94602694,2010/10/29,1.021987156,2010/10/29,0.723457541,2010/10/29,0.89663828
2010-11-01,10.86,1.018055993,1.023255814,1.036438005,2010/11/1,0.610802642,2010/11/1,0.826133866,2010/11/1,0.52596617,2010/11/1,0.346734109
2010-11-02,11.05,1.734411346,1.749539595,3.008182716,2010/11/2,0.493104768,2010/11/2,1.508757502,2010/11/2,0.25381165,2010/11/2,0.37443045
2010-11-03,11.17,1.080118512,1.085972851,1.166655999,2010/11/3,1.243453305,2010/11/3,1.642227982,2010/11/3,0.770942977,2010/11/3,1.314786755
2010-11-04,11.37,1.774669468,1.790510295,3.149451721,2010/11/4,1.107977789,2010/11/4,1.90234267,2010/11/4,0.701091602,2010/11/4,0.898831075
2010-11-05,11.33,-0.352423272,-0.35180299,0.124202163,2010/11/5,0.635963665,2010/11/5,0.666959515,2010/11/5,0.142783211,2010/11/5,0.40241912
2010-11-08,11.38,0.440335366,0.441306267,0.193895234,2010/11/8,0.393940883,2010/11/8,0.401724061,2010/11/8,0.202981079,2010/11/8,0.254482224
2010-11-09,11.29,-0.794005054,-0.79086116,0.630444025,2010/11/9,0.871714747,2010/11/9,1.492265194,2010/11/9,0.716988543,2010/11/9,0.53873248
2010-11-10,11.36,0.618103513,0.620017715,0.382051953,2010/11/10,0.766324309,2010/11/10,0.797650192,2010/11/10,0.725350392,2010/11/10,0.713111841
